"vessel_id","time_stamp","lon","lat"
"1","AR001","2017-05-19 06:50:28",-4.11331985982002,58.2000282146812
"2","AR001","2017-05-19 06:51:28",-4.11675540287426,58.2011457103425
"3","AR001","2017-05-19 06:52:28",-4.12009685411189,58.2022388672026
"4","AR001","2017-05-19 06:53:28",-4.12313101521211,58.203483872929
"5","AR001","2017-05-19 06:54:28",-4.12593436092618,58.2048608875754
"6","AR001","2017-05-19 06:55:28",-4.12879855561364,58.2061150855695
"7","AR001","2017-05-19 06:56:28",-4.13176012436493,58.2073283795358
"8","AR001","2017-05-19 06:57:28",-4.13473144026815,58.2085529910719
"9","AR001","2017-05-19 06:58:28",-4.13768072563373,58.2098029123905
"10","AR001","2017-05-19 06:59:28",-4.14065016815104,58.2110461355603
"11","AR001","2017-05-19 07:00:28",-4.14364647566824,58.2122830747796
"12","AR001","2017-05-19 07:01:28",-4.14663222285939,58.2135115808651
"13","AR001","2017-05-19 07:02:28",-4.14964315136272,58.2147263655675
"14","AR001","2017-05-19 07:03:28",-4.15219796107325,58.2161918222585
"15","AR001","2017-05-19 07:04:28",-4.15473758626794,58.2176868343199
"16","AR001","2017-05-19 07:05:28",-4.15727002792833,58.2191988662156
"17","AR001","2017-05-19 07:06:28",-4.15982605747575,58.2206837511824
"18","AR001","2017-05-19 07:07:28",-4.16245515403779,58.2221091019749
"19","AR001","2017-05-19 07:08:28",-4.16495797396163,58.2235838760601
"20","AR001","2017-05-19 07:09:28",-4.16745883324975,58.2250839202726
"21","AR001","2017-05-19 07:10:28",-4.16992374023589,58.2265671342844
"22","AR001","2017-05-19 07:11:28",-4.17247200945375,58.2280545041386
"23","AR001","2017-05-19 07:12:28",-4.174987892875,58.2295475417259
"24","AR001","2017-05-19 07:13:28",-4.17749588584623,58.2310518412822
"25","AR001","2017-05-19 07:14:28",-4.17994622613381,58.2325947714536
"26","AR001","2017-05-19 07:15:28",-4.18238275490698,58.2341518931924
"27","AR001","2017-05-19 07:16:28",-4.18482872341636,58.2357040497164
"28","AR001","2017-05-19 07:17:28",-4.18727853441602,58.2372504027638
"29","AR001","2017-05-19 07:18:28",-4.18972654908906,58.2387862935431
"30","AR001","2017-05-19 07:19:28",-4.1921753357227,58.2403196599558
"31","AR001","2017-05-19 07:20:28",-4.19463533731484,58.2418432073964
"32","AR001","2017-05-19 07:21:28",-4.1971019711306,58.2433541180564
"33","AR001","2017-05-19 07:22:28",-4.19957090923412,58.2448652508499
"34","AR001","2017-05-19 07:23:28",-4.20204320812578,58.2463764471333
"35","AR001","2017-05-19 07:24:28",-4.20450673222645,58.247898594314
"36","AR001","2017-05-19 07:25:28",-4.20698054973443,58.2494022920111
"37","AR001","2017-05-19 07:26:28",-4.20949174453764,58.2508966063393
"38","AR001","2017-05-19 07:27:28",-4.21198891066269,58.2523730400753
"39","AR001","2017-05-19 07:28:28",-4.21453585326767,58.2538040398689
"40","AR001","2017-05-19 07:29:28",-4.21720194125704,58.2552248724652
"41","AR001","2017-05-19 07:30:28",-4.22000824687756,58.2566532945298
"42","AR001","2017-05-19 07:31:28",-4.22278054735726,58.2581268943458
"43","AR001","2017-05-19 07:32:28",-4.22550150172827,58.259636857812
"44","AR001","2017-05-19 07:33:28",-4.22805772798525,58.2611573298474
"45","AR001","2017-05-19 07:34:28",-4.23057947304444,58.2626601184736
"46","AR001","2017-05-19 07:35:28",-4.23311986339999,58.2641536957831
"47","AR001","2017-05-19 07:36:28",-4.23567100447669,58.2656561022158
"48","AR001","2017-05-19 07:37:28",-4.23829146551922,58.2671847349986
"49","AR001","2017-05-19 07:38:28",-4.24077689496996,58.2686966605956
"50","AR001","2017-05-19 07:39:28",-4.24334245242345,58.2701538637574
"51","AR001","2017-05-19 07:40:28",-4.24623968195544,58.2714371136225
"52","AR001","2017-05-19 07:41:28",-4.24914437815587,58.2726842953865
"53","AR001","2017-05-19 07:42:28",-4.2520530039191,58.2739403562793
"54","AR001","2017-05-19 07:43:28",-4.25494031233866,58.275214526509
"55","AR001","2017-05-19 07:44:28",-4.2577954417073,58.276488949131
"56","AR001","2017-05-19 07:45:28",-4.2606210504515,58.2777905479683
"57","AR001","2017-05-19 07:46:28",-4.26347318140334,58.279064875352
"58","AR001","2017-05-19 07:47:28",-4.26625275326666,58.2804027372128
"59","AR001","2017-05-19 07:48:28",-4.2689469744454,58.2817324041282
"60","AR001","2017-05-19 07:49:28",-4.27125996523812,58.283173597943
"61","AR001","2017-05-19 07:50:28",-4.27154142066802,58.2842217682254
"62","AR001","2017-05-19 07:51:28",-4.27158677296903,58.2840596296755
"63","AR001","2017-05-19 07:52:28",-4.27173362030272,58.284112065034
"64","AR001","2017-05-19 07:53:28",-4.27167648821159,58.2840407721412
"65","AR001","2017-05-19 07:54:28",-4.27179679631246,58.2840665234543
"66","AR001","2017-05-19 07:55:28",-4.27196741766822,58.2841636352773
"67","AR001","2017-05-19 07:56:28",-4.27213324732498,58.2842697771921
"68","AR001","2017-05-19 07:57:28",-4.27228875416171,58.2844209348198
"69","AR001","2017-05-19 07:58:28",-4.27246269422773,58.2845629261794
"70","AR001","2017-05-19 07:59:28",-4.27264110605764,58.2846869075168
"71","AR001","2017-05-19 08:00:28",-4.27284062272825,58.2848286438029
"72","AR001","2017-05-19 08:01:28",-4.27301862146943,58.2849885593036
"73","AR001","2017-05-19 08:02:28",-4.27322261147575,58.2851122851866
"74","AR001","2017-05-19 08:03:28",-4.2734201055282,58.2852450580869
"75","AR001","2017-05-19 08:04:28",-4.27360363900315,58.2853689871029
