"vessel_id","lat","lon","time","bearing","speed","gear","fish.val","fish.val.full","fish.event"
"1","id_Ben",37.0234436,-7.834324,"2017-03-10 06:06:01",194,6.47948360443115,"pots","travel","travel","travel"
"2","id_Ben",37.0228755,-7.83461,"2017-03-10 06:06:21",214,6.47948360443115,"pots","travel","travel","travel"
"3","id_Ben",37.0222218,-7.8354783,"2017-03-10 06:06:51",233,7.01944065093994,"pots","travel","travel","travel"
"4","id_Ben",37.0216803,-7.8365075,"2017-03-10 06:07:21",238,7.01944065093994,"pots","travel","travel","travel"
"5","id_Ben",37.0210865,-7.8376271,"2017-03-10 06:07:51",232,7.01944065093994,"pots","travel","travel","travel"
"6","id_Ben",37.0203325,-7.8384905,"2017-03-10 06:08:21",217,7.01944065093994,"pots","travel","travel","travel"
"7","id_Ben",37.0194638,-7.8391841,"2017-03-10 06:08:51",210,7.55939769744873,"pots","travel","travel","travel"
"8","id_Ben",37.0185628,-7.8400193,"2017-03-10 06:09:21",217,7.55939769744873,"pots","travel","travel","travel"
"9","id_Ben",37.0181098,-7.840546,"2017-03-10 06:09:38",240,7.01944065093994,"pots","travel","travel","travel"
"10","id_Ben",37.0180445,-7.840791,"2017-03-10 06:09:44",261,7.55939769744873,"pots","travel","travel","travel"
"11","id_Ben",37.0179961,-7.8421398,"2017-03-10 06:10:14",263,8.09935474395752,"pots","travel","travel","travel"
"12","id_Ben",37.0177585,-7.8434365,"2017-03-10 06:10:44",251,8.09935474395752,"pots","travel","travel","travel"
"13","id_Ben",37.0173514,-7.844831,"2017-03-10 06:11:14",247,8.09935474395752,"pots","travel","travel","travel"
"14","id_Ben",37.0169008,-7.8461735,"2017-03-10 06:11:44",249,8.09935474395752,"pots","travel","travel","travel"
"15","id_Ben",37.0165201,-7.8474883,"2017-03-10 06:12:14",247,8.09935474395752,"pots","travel","travel","travel"
"16","id_Ben",37.016093,-7.8488586,"2017-03-10 06:12:44",247,8.09935474395752,"pots","travel","travel","travel"
"17","id_Ben",37.0156181,-7.850123,"2017-03-10 06:13:14",247,8.09935474395752,"pots","travel","travel","travel"
"18","id_Ben",37.0151951,-7.8513893,"2017-03-10 06:13:44",248,8.09935474395752,"pots","travel","travel","travel"
"19","id_Ben",37.0147755,-7.8527628,"2017-03-10 06:14:14",245,7.55939769744873,"pots","travel","travel","travel"
"20","id_Ben",37.0141975,-7.854005,"2017-03-10 06:14:44",238,8.09935474395752,"pots","travel","travel","travel"
"21","id_Ben",37.0135898,-7.8552191,"2017-03-10 06:15:14",234,8.09935474395752,"pots","travel","travel","travel"
