"vessel_id","time_stamp","lon","lat","speed","course","trip"
1,2017-01-07 13:59:49,12.7503,43.9683,0,35,"1_1"
1,2017-01-07 14:05:52,12.7507,43.9728,6.7,355,"1_1"
1,2017-01-07 14:08:51,12.7503,43.985,7.4,356,"1_1"
1,2017-01-07 14:14:52,12.75,43.9977,7.6,0,"1_1"
1,2017-01-07 14:20:48,12.7498,44.0105,7.5,1,"1_1"
1,2017-01-07 14:23:46,12.7498,44.0105,7.5,1,"1_1"
1,2017-01-07 14:29:47,12.75,44.0228,7.5,3,"1_1"
1,2017-01-07 14:35:48,12.7503,44.0355,7.5,0,"1_1"
1,2017-01-07 14:38:48,12.751,44.048,7.5,1,"1_1"
1,2017-01-07 14:44:47,12.7518,44.0607,7.6,2,"1_1"
1,2017-01-07 14:50:47,12.7522,44.073,7.3,359,"1_1"
1,2017-01-07 14:56:43,12.751,44.0852,7.2,344,"1_1"
1,2017-01-07 14:59:43,12.751,44.0852,7.2,344,"1_1"
1,2017-01-07 15:05:41,12.7422,44.0957,7.4,325,"1_1"
1,2017-01-07 15:11:40,12.733,44.106,7.1,326,"1_1"
1,2017-01-07 15:14:39,12.7242,44.116,7.1,328,"1_1"
1,2017-01-07 15:20:40,12.7228,44.1258,7,333,"1_1"
1,2017-01-07 15:26:42,12.7163,44.137,7,339,"1_1"
1,2017-01-07 15:29:40,12.7163,44.137,7,339,"1_1"
1,2017-01-07 15:35:42,12.7093,44.1478,5.8,321,"1_1"
1,2017-01-07 15:41:43,12.7115,44.1358,8.2,165,"1_1"
1,2017-01-07 15:44:43,12.7158,44.122,8.2,166,"1_1"
1,2017-01-07 15:50:44,12.72,44.1085,8.3,166,"1_1"
1,2017-01-07 15:56:45,12.724,44.0952,7.8,163,"1_1"
1,2017-01-07 15:59:44,12.724,44.0952,7.8,163,"1_1"
1,2017-01-07 16:05:44,12.7287,44.082,8,165,"1_1"
1,2017-01-07 16:11:44,12.733,44.0688,8,167,"1_1"
1,2017-01-07 16:14:45,12.7372,44.0558,7.9,167,"1_1"
1,2017-01-07 16:20:45,12.7415,44.0432,7.8,166,"1_1"
1,2017-01-07 16:26:45,12.7458,44.0303,7.7,167,"1_1"
1,2017-01-07 16:29:46,12.7458,44.0303,7.7,167,"1_1"
1,2017-01-07 16:35:45,12.75,44.0175,7.8,166,"1_1"
1,2017-01-07 16:41:44,12.7525,44.0043,7.6,177,"1_1"
1,2017-01-07 16:44:45,12.7525,44.0043,7.6,177,"1_1"
1,2017-01-07 16:50:43,12.7517,43.9912,7.9,185,"1_1"
1,2017-01-07 16:56:42,12.7505,43.9778,8.5,185.6,"1_1"
1,2017-01-07 16:59:41,12.7508,43.9679,0.3,227.6,"1_1"
1,2017-01-07 17:05:41,12.7508,43.9679,0,360,"1_1"
1,2017-01-07 17:11:44,12.7508,43.9679,0,181.1,"1_1"
1,2017-01-08 01:02:46,12.7508,43.968,0,181,"1_2"
1,2017-01-08 01:05:50,12.751,43.9723,6.6,3,"1_2"
1,2017-01-08 01:11:52,12.7527,43.984,7.1,4,"1_2"
1,2017-01-08 01:14:54,12.7527,43.984,7.1,4,"1_2"
1,2017-01-08 01:20:54,12.7543,43.997,8,4,"1_2"
1,2017-01-08 01:26:54,12.7558,44.0103,8.1,5,"1_2"
1,2017-01-08 01:32:56,12.7567,44.0237,8.2,359,"1_2"
1,2017-01-08 01:35:56,12.7563,44.0375,8,352,"1_2"
1,2017-01-08 01:41:53,12.7517,44.0507,7.9,345,"1_2"
1,2017-01-08 01:47:54,12.7462,44.0637,7.9,344,"1_2"
1,2017-01-08 01:50:53,12.7462,44.0637,7.9,344,"1_2"
1,2017-01-08 01:56:55,12.7405,44.0763,7.9,342,"1_2"
1,2017-01-08 02:02:52,12.7347,44.0892,7.8,340,"1_2"
1,2017-01-08 02:05:53,12.7293,44.1015,7.7,343,"1_2"
1,2017-01-08 02:11:50,12.7242,44.1138,7.6,343,"1_2"
1,2017-01-08 02:17:51,12.719,44.1258,7.4,343,"1_2"
1,2017-01-08 02:20:51,12.719,44.1258,7.4,343,"1_2"
1,2017-01-08 02:26:51,12.714,44.1375,6.9,341,"1_2"
1,2017-01-08 02:32:49,12.7098,44.1475,0.9,357,"1_2"
1,2017-01-08 02:35:52,12.7107,44.1463,1.1,153,"1_2"
1,2017-01-08 02:41:51,12.7115,44.145,1.1,169,"1_2"
1,2017-01-08 02:47:52,12.7123,44.1435,0.9,151,"1_2"
1,2017-01-08 02:50:51,12.7123,44.1435,0.9,151,"1_2"
1,2017-01-08 02:56:51,12.7132,44.142,0.7,157,"1_2"
1,2017-01-08 03:02:48,12.714,44.1403,0.9,166,"1_2"
1,2017-01-08 03:05:47,12.715,44.1388,0.9,137,"1_2"
